id,title,authors
648,To WASM or Not to WASM: Evaluation of Browser Fingerprinting Defenses Under WASM based Obfuscation,"A H M Nazmus Sakib, Mahsin Bin Akram (University of Texas at San Antonio); Joseph Spracklen, Sahan Kalutarage, Raveen Wijewickrama (The University of Texas at San Antonio); Igor Bilogrevic (Google); Murtuza Jadliwala (University of Texas at San Antonio)"
703,Devlore: Device Interrupt Protection for Confidential VMs,"Andrin Bertschi, Supraja Sridhara, Mark Kuhne, Benedict Schlüter, Friederike Groschupp, Clément Thorens, Nicolas Dutly, Srdjan Capkun, Shweta Shinde (ETH Zurich)"
710,Reverse Engineering and Systematic Evaluation of Prefetcher-Based Security Vulnerabilities in Commercial RISC-V Processors,"Wenxin Mao (School of Cyber Science and Engineering, Wuhan University); Quancheng Wang (DAMO Academy, Alibaba Group; School of Cyber Science and Engineering, Wuhan University); Ke Xu (School of Cyber Science and Engineering, Wuhan University); Xiaoxia Cui (DAMO Academy, Alibaba Group); Ming Tang (School of Cyber Science and Engineering, Wuhan University; Zhongguancun Laboratory)"
717,ShadowICS: Detecting OT Sandboxes via Passive Industrial Traffic Monitoring,Denis Donadel (University of Verona); Daniele Antonioli (EURECOM); Nils Ole Tippenhauer (CISPA Helmholtz Center for Information Security); Massimo Merro (University of Verona)
786,FragStrike: A Memory-Exhaustion Attack against Tor Nodes via Heap Fragmentation,"Yefeng Qin (Beijing University of Posts and Telecommunications); Qingfeng Zhang (Independent Researcher); Zeyu Li, Jinqiao Shi (Beijing University of Posts and Telecommunications); Yanchen Qiao (Peng Cheng Laboratory); Liyao Guo (Beijing University of Posts and Telecommunications, China)"
799,Waslr: Fine-Grained Memory Randomization for WebAssembly,"Noah Kappert, Oussama Draissi, Lucas Davi (University of Duisburg-Essen)"
821,No Data? No Problem: Synthesizing Security Graphs for Better Intrusion Detection,"Yi Huang, Shaofei Li, Yao Guo, Xiangqun Chen (Peking University); Wajih Ul Hassan (University of Virginia); Ding Li (Peking University)"
823,Beyond the Blank Slate: Typed Operating System State for Cross-Session Consistency in LLM-Powered Honeypots,"Zhe Huang (Beijing Institute of Technology, Zhongguancun Laboratory); Zhi Wang, Chaoge Liu, Xiao Deng, Shengjia Chang (Zhongguancun Laboratory); Mengyang Xu (Harbin Institute of Technology, Zhongguancun Laboratory)"
831,CANDLe: Discerning Deep Learning Methods for CAN Bus Intrusion Detection via a Reproducible and Extensible Benchmarking Framework,"Anthony Nasry Massaad (Louisiana State University); Aleksandar Avdalović, Peyton Andras, Joseph Khoury, Elias Bou-Harb (Louisiana State University, US)"
871,0xELF: Reverse Engineering Framework for Flexo-Generated Weird Machines,"Gianmarco Lusvardi, Mauro Andreolini, Luca Ferretti (University of Modena and Reggio Emilia); Yuval Yarom (Ruhr University Bochum); Anirban Chakraborty (Max Planck Institute for Security and Privacy)"
944,"“It Seems Like an Advertisement“: Attention, Interpretation, and Response to Mobile Antivirus Warnings","Seyoung Jin, Heewon Baek (Sungkyunkwan University, Department of Electrical and Computer Engineering); Uichin Lee (School of Computing, KAIST); Hyoungshick Kim (Sungkyunkwan University, Department of Electrical and Computer Engineering)"
